ID,DIRECCIONES,ID_CLIENTE,FECHA_INS
13,0545 Sunfield Plaza,338,2019-04-14
19,8 Mariners Cove Point,219,2019-12-20
25,4597 Maywood Street,906,2020-12-28
28,1533 Summit Lane,644,2020-03-03
30,1184 Lawn Road,742,2020-05-26
32,21898 Clarendon Street,398,2020-07-08
36,275 Hermina Court,143,2020-09-08
44,01506 Onsgard Parkway,946,2019-09-09
45,0885 Pennsylvania Crossing,200,2019-04-03
49,69148 Longview Plaza,38,2020-07-19
50,617 John Wall Road,472,2019-09-23
52,845 Meadow Vale Center,668,2019-08-18
54,18 Rigney Junction,103,2019-03-23
56,6906 Cascade Parkway,472,2020-10-15
57,83843 Hauk Parkway,642,2019-10-19
59,69962 Coleman Avenue,794,2019-08-14
61,4 Lakewood Park,202,2020-09-05
65,8388 Meadow Vale Place,837,2020-07-16
66,5 Fallview Circle,981,2020-03-26
68,0618 2nd Plaza,797,2020-11-20
73,031 Ridgeview Alley,738,2020-04-15
77,2 Lakewood Gardens Road,921,2019-05-24
78,92 Almo Center,348,2019-11-10
84,4 Merchant Parkway,173,2019-01-10
87,0 Little Fleur Hill,228,2019-07-09
89,1949 Dayton Parkway,930,2020-10-20
90,8239 Lakewood Gardens Hill,11,2019-04-29
93,6323 High Crossing Lane,705,2019-01-20
99,50610 Burning Wood Circle,430,2019-09-27
104,2 Monterey Avenue,57,2019-01-26
106,49143 Cottonwood Court,845,2019-03-30
111,3 Commercial Street,638,2019-03-30
112,04557 Carey Street,621,2019-08-12
117,00 Kedzie Avenue,735,2019-02-01
123,2581 Susan Street,329,2019-04-05
134,6 North Road,737,2019-10-13
135,0396 Waxwing Parkway,171,2020-08-11
138,63 Duke Park,133,2019-05-07
139,6 Golf Court,907,2019-08-12
143,6795 Sunnyside Street,278,2020-08-03
147,2 Scoville Plaza,872,2020-10-06
159,4 Vera Alley,798,2019-02-02
161,3 Victoria Hill,242,2020-03-27
165,99 Crownhardt Alley,188,2019-04-28
167,594 Farwell Road,958,2020-09-12
168,373 Briar Crest Pass,938,2019-05-04
170,6 Talmadge Crossing,999,2019-11-22
172,6218 Novick Trail,172,2020-12-11
178,9 Hermina Road,964,2020-12-17
181,9 Bonner Crossing,501,2019-09-16
182,9 Kim Pass,995,2020-11-03
186,71 Moose Way,319,2019-01-23
189,80142 Kenwood Street,464,2020-08-01
192,2 Arizona Circle,901,2020-05-06
194,37 Kings Avenue,39,2019-03-14
199,957 Golf Course Street,387,2020-03-01
207,8 Anhalt Point,964,2020-11-08
211,77891 Monument Junction,355,2020-09-15
212,067 Crownhardt Terrace,150,2020-06-08
213,92279 Monument Park,525,2019-12-16
214,23898 Union Alley,788,2020-11-13
215,517 Hanson Court,775,2019-01-13
218,42698 Dayton Parkway,80,2019-04-17
220,47586 Pennsylvania Alley,560,2019-03-28
222,0653 Moose Terrace,898,2019-02-14
223,30 Sullivan Drive,185,2019-07-14
227,1465 Milwaukee Junction,427,2020-09-28
228,8 Pankratz Terrace,340,2019-07-12
231,3 Express Terrace,639,2019-07-26
232,8 Fairview Street,335,2020-08-03
234,53 Bay Hill,136,2019-08-02
241,2 Utah Street,910,2019-08-13
249,443 Di Loreto Lane,207,2020-11-01
252,926 Riverside Street,430,2019-12-05
253,13706 Norway Maple Hill,269,2020-07-26
255,5 Mccormick Park,801,2019-01-09
256,77 Oak Parkway,858,2020-08-25
257,089 Darwin Park,330,2019-10-27
258,6628 Meadow Ridge Lane,187,2020-04-29
263,1 Lillian Hill,575,2019-01-09
264,9 Kinsman Hill,821,2019-04-11
265,366 School Crossing,939,2019-12-07
268,0894 Buena Vista Terrace,782,2019-08-31
269,6 Shelley Way,580,2019-03-14
270,10473 Toban Court,555,2019-05-19
278,3 Melvin Road,52,2019-08-27
284,40 Victoria Drive,543,2020-03-01
290,00567 Briar Crest Lane,569,2019-12-01
291,13 Weeping Birch Drive,756,2020-12-07
293,068 Annamark Alley,690,2020-01-09
294,08163 3rd Plaza,64,2019-01-09
295,252 Fairview Way,286,2019-12-16
298,94026 Lakewood Gardens Point,620,2019-09-30
303,67 Bellgrove Drive,395,2020-09-08
305,66 Pierstorff Plaza,963,2019-04-14
308,99 Summerview Crossing,295,2019-11-22
311,6309 Eagan Point,964,2019-02-18
314,7 Kedzie Alley,676,2020-03-21
315,21239 Nova Way,112,2020-09-23
316,887 Aberg Hill,826,2020-08-20
317,2 Haas Parkway,341,2020-04-27
318,3 Grayhawk Terrace,642,2020-07-04
322,5188 Longview Drive,534,2020-03-20
326,5650 Buena Vista Junction,590,2019-12-19
327,50463 Karstens Way,359,2020-03-28
328,52823 Thierer Street,32,2020-05-19
329,34 Laurel Hill,704,2019-02-26
330,38 Pearson Plaza,855,2019-05-28
334,5 Pine View Plaza,555,2019-05-12
336,47 Lakewood Hill,615,2020-02-05
340,34563 Walton Street,904,2020-11-18
341,9 Kennedy Alley,631,2020-07-07
344,24 Bunting Hill,414,2019-08-21
345,05932 Maywood Road,598,2019-02-28
348,06 Helena Pass,64,2019-04-15
349,155 Vermont Crossing,304,2019-01-10
355,49224 Sachs Hill,181,2020-12-03
356,5 Veith Hill,482,2020-11-17
358,8 Hanover Trail,266,2020-09-26
359,7418 Jenifer Crossing,430,2020-07-12
361,05556 Oakridge Drive,704,2019-12-24
362,2 Hermina Avenue,810,2020-12-28
368,4555 Di Loreto Crossing,573,2019-04-08
370,1155 Starling Road,510,2020-10-10
371,48 Mayer Lane,176,2020-09-28
373,3849 Hayes Terrace,848,2019-01-12
377,5 Hudson Alley,416,2019-01-07
378,27 Tennyson Way,242,2019-06-01
379,27997 Basil Drive,934,2019-06-30
380,3780 Wayridge Drive,57,2019-03-17
381,72 Daystar Center,160,2019-04-15
382,2 Glendale Park,891,2019-09-06
384,99557 Briar Crest Point,29,2019-02-26
387,505 Portage Place,685,2019-02-14
388,462 East Circle,449,2020-08-12
389,45039 Ludington Junction,153,2019-10-25
390,88082 Havey Lane,99,2020-07-09
395,4 Farmco Lane,456,2019-03-14
396,48 Harbort Pass,168,2019-01-13
399,66 Coleman Center,662,2020-12-25
403,81465 Elka Plaza,335,2019-11-17
405,1 Roth Plaza,791,2020-07-07
412,469 West Trail,979,2020-10-03
415,1 Prairieview Court,142,2020-02-18
417,7 Northland Terrace,462,2019-12-27
419,7 Sunfield Drive,391,2020-07-28
422,8757 Autumn Leaf Terrace,442,2019-10-23
423,53 4th Lane,698,2020-09-19
425,09000 Garrison Terrace,303,2020-03-03
437,426 Del Sol Place,257,2019-01-27
441,6 Hauk Avenue,562,2019-03-02
445,8 Mandrake Trail,619,2019-11-13
447,988 Superior Junction,463,2020-04-19
448,83 4th Lane,939,2019-02-08
451,344 Birchwood Way,402,2020-08-27
452,39 Carberry Park,669,2019-02-08
454,5 Spaight Alley,194,2020-03-12
460,44 Lerdahl Way,766,2020-07-05
461,8199 International Crossing,877,2020-06-30
462,464 Melrose Plaza,635,2019-12-15
463,07 Cordelia Street,881,2020-04-02
465,91646 Ilene Crossing,547,2019-10-30
471,724 Darwin Terrace,449,2020-08-07
474,41331 Mifflin Lane,607,2019-06-06
475,6 Debra Alley,727,2019-12-21
481,0 Charing Cross Drive,16,2020-02-14
483,34 Walton Terrace,734,2020-04-28
495,77 Summer Ridge Lane,752,2019-08-18
496,1602 Grim Place,684,2019-01-11
498,0 Green Hill,170,2020-08-15
499,307 Monterey Crossing,275,2019-01-13
500,913 Westerfield Place,764,2020-02-03
501,2679 Spaight Plaza,922,2019-07-08
505,50 Springview Plaza,882,2020-06-23
507,2480 Village Way,519,2020-01-18
509,90340 Moulton Center,695,2020-02-02
511,60189 Brown Trail,789,2020-10-09
513,225 Corscot Alley,281,2020-07-05
517,2953 Sutherland Terrace,969,2019-11-10
518,890 Bartillon Trail,430,2020-02-29
524,621 Barnett Crossing,55,2019-02-07
526,81 Menomonie Hill,819,2019-05-25
528,44 Hollow Ridge Center,99,2019-02-10
529,1809 Tennessee Hill,574,2019-11-25
538,264 Eliot Street,940,2019-12-26
540,77719 Moose Way,21,2020-08-27
543,9913 Meadow Valley Point,227,2020-12-28
544,8670 Eastlawn Point,912,2020-03-16
545,4 Victoria Avenue,259,2019-10-26
546,844 Reindahl Road,916,2019-12-12
548,748 Pawling Junction,828,2019-03-28
549,66 Bonner Point,366,2020-05-17
554,67 Forest Dale Crossing,213,2020-08-01
555,5 Mitchell Plaza,614,2020-01-08
556,5 1st Road,76,2020-08-03
557,4910 Algoma Court,741,2020-11-29
560,7578 Blaine Alley,659,2019-12-02
563,4 Graceland Crossing,617,2019-03-16
573,200 Anthes Street,293,2019-05-12
578,694 Sugar Alley,323,2020-01-09
579,5507 Granby Drive,286,2020-04-27
580,74 Randy Street,600,2019-09-19
583,118 Corben Park,698,2020-03-17
584,03344 Green Court,349,2019-03-13
586,0 Bayside Way,76,2020-01-26
588,72842 Bluejay Park,762,2020-05-28
589,648 Colorado Lane,635,2019-08-25
591,320 Pennsylvania Place,74,2020-08-17
592,3868 Crowley Center,922,2019-04-01
593,2101 Annamark Way,864,2020-07-12
595,1 Mosinee Lane,639,2019-05-20
596,9841 Schmedeman Place,141,2020-11-08
601,1435 Ramsey Crossing,515,2019-07-26
608,03287 4th Court,717,2020-02-11
609,83 Menomonie Avenue,334,2020-10-09
614,1 Grover Avenue,545,2020-03-31
622,589 Sheridan Alley,861,2020-02-15
623,45 Paget Park,758,2020-09-19
628,2739 Butternut Circle,856,2019-09-05
